Inc: IA No,Inc: Incident type,Inc: Received date,OffSnp: Title/rank,Off: First name,Off: Last name,Alg: Allegation,Alg: Finding,Act: Action taken,Act: Days/hours suspended,Act: Action taken date,Inc: Occurred date
IAD2015-0237,Citizen complaint,04/10/2015,"Police Officer
Police Officer
Police Officer
Police Officer","Michael R
Michael R
Christopher J
Christopher J","Szegda
Szegda
McCarthy
McCarthy","Respectful Treatment
Neg.Duty/Unreasonable Judge
Respectful Treatment
Neg.Duty/Unreasonable Judge","Not Sustained
Sustained
Not Sustained
Sustained","Oral Reprimand
Oral Reprimand
Oral Reprimand
Oral Reprimand","0
0
0
0","07/20/2020
07/20/2020
09/11/2019
09/11/2019",04/07/2015
IAD2015-0239,Internal investigation,05/19/2015,Police Officer,John P.,Ridge,Drug Test,Sustained,Resigned Charges Pending,,05/31/2016,05/19/2015
IAD2015-0246,Citizen complaint,04/16/2015,Detective,Timothy D.,Murray,Neg.Duty/Unreasonable Judge,Unfounded,,,,04/14/2015
IAD2015-0249,Citizen complaint,05/21/2015,"Police Officer
Police Officer","James F.
James F.","Davis
Davis","Neg.Duty/Unreasonable Judge
Respectful Treatment","Sustained
Sustained","Retired with Charges Pending
Retired with Charges Pending","0
0","09/19/2016
09/19/2016",04/01/2015
IAD2015-0250,Citizen complaint,05/26/2015,Police Officer,Matthew E,Haslett,Respectful Treatment,Exonerated,,,,05/25/2015
IAD2015-0251,Citizen complaint,05/26/2015,Police Officer,Christopher J,McCarthy,Abuse of Process,Unfounded,,,,04/24/2015
IAD2015-0252,Citizen complaint,04/16/2015,Police Officer,Roberto C.,Paulino,Use of Force,Unfounded,,,,02/25/2015
IAD2015-0254,Citizen complaint,04/21/2015,Police Officer,Roberto B.,LaColla,Use of Force,Exonerated,,,,04/21/2015
IAD2015-0255,Citizen complaint,04/21/2015,"Police Officer
Police Officer","Javier A.
Javier A.","Velasquez
Velasquez","Respectful Treatment
Self Identification","Unfounded
Unfounded",,"0
0",,04/18/2015
IAD2015-0256,Internal investigation,04/22/2015,"Police Officer
Police Officer","James F.
James F.","Davis
Davis","Respectful Treatment
Directives/Orders","Sustained
Sustained","Retired with Charges Pending
Retired with Charges Pending","0
0","09/19/2016
09/19/2016",04/22/2015
IAD2015-0257,Internal investigation,04/23/2015,Lieutenant,Donald D.,Callahan,Controlled Substances,Unfounded,,,,04/09/2015
IAD2015-0258,Citizen complaint,04/29/2015,Sergeant,Henry Joseph,Staines,Neg.Duty/Unreasonable Judge,Sustained,Counselling,,08/30/2018,04/27/2015
IAD2015-0259,Citizen complaint,04/30/2015,Detective,Agnaldo P,Monteiro,Respectful Treatment,Not Sustained,,,,04/29/2015
IAD2015-0267,Citizen complaint,06/02/2015,"Police Officer
Police Officer","Jeffrey S
John C","Firnstein
Ho","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Unfounded
Unfounded",,"0
0",,05/30/2015
IAD2015-0272,Citizen complaint,06/09/2015,"Police Officer
Police Officer
Police Officer","Kevin W
Timothy R
Joseph M","Cullen
Donovan
Collins","Respectful Treatment
Respectful Treatment
Respectful Treatment","Exonerated
Exonerated
Exonerated",,"0
0
0",,05/25/2015
IAD2015-0273,Internal investigation,06/08/2015,Police Officer,Kenneth H.,Grubbs,Reporting for Duty,Sustained,Oral Reprimand,,04/09/2019,02/07/2015
IAD2015-0274,Internal investigation,06/09/2015,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Craig D
Craig D
Craig D
Kelvin M
Kelvin M","Jones
Jones
Jones
Ervin
Ervin","Respectful Treatment
Respectful Treatment
Use of Force
Use of Force
Respectful Treatment","Sustained
Exonerated
Exonerated
Exonerated
Not Sustained","Oral Reprimand
Oral Reprimand
Oral Reprimand

","0
0
0
0
0","06/03/2016
06/03/2016
06/03/2016

",
IAD2015-0277,Citizen complaint,06/10/2015,"Detective
Police Officer","Patrick M.J
","Foley
Unknown","Neg.Duty/Unreasonable Judge
Prisoners/Booking Procedures","Unfounded
Unfounded",,"0
0",,05/09/2014
IAD2015-0279,Internal investigation,05/19/2015,Police Officer,Quion Tee,Riley Jr.,Neg.Duty/Unreasonable Judge,Unfounded,,,,05/06/2015
IAD2015-0281,Internal investigation,06/08/2015,Police Officer,David,Mcbride,Paid Details Fitness for Duty,Sustained,Oral Reprimand,,05/11/2015,01/12/2015
IAD2015-0282,Internal investigation,06/02/2015,Sergeant,Paul M,Joseph,Request for Interviews,Sustained,Oral Reprimand,,06/11/2015,05/13/2015
IAD2015-0283,Internal investigation,06/08/2015,Police Officer,Caetano A,Teixeira,Paid Details Fitness for Duty,Sustained,Oral Reprimand,,06/10/2015,03/23/2015
IAD2015-0284,Internal investigation,06/02/2015,Police Officer,Gerrard,Lett,Reporting for Duty,Sustained,Suspension,1,06/19/2015,02/21/2015
IAD2015-0285,Internal investigation,06/15/2015,Police Officer,Edward L,Roach,Paid Details Fitness for Duty,Sustained,Oral Reprimand,,06/22/2016,03/24/2015
IAD2015-0286,Internal investigation,06/15/2015,Police Officer,John T,Bergquist,Paid Details Fitness for Duty,Sustained,Oral Reprimand,,06/22/2016,03/23/2015
IAD2015-0293,Internal investigation,04/28/2015,Detective,Dante B,Williams,Reporting for Duty,Sustained,Suspension,1,07/23/2016,04/26/2015
IAD2015-0296,Citizen complaint,06/15/2015,"Detective
Detective
Detective
Detective
Detective","William P
William P
William P
William P
William P","Dunn
Dunn
Dunn
Dunn
Dunn","Untruthfulness
Conduct Unbecoming
Conduct Unbecoming
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Sustained
Sustained
Not Sustained
Sustained
Not Sustained","Retired with Charges Pending
Retired with Charges Pending
Retired with Charges Pending
Retired with Charges Pending
Retired with Charges Pending","0
0
0
0
0","01/22/2016
01/22/2016
01/22/2016
01/22/2016
01/22/2016",06/13/2015
IAD2015-0297,Internal investigation,06/18/2015,Police Officer,Richard J.,Kelley,Paid Details - Use of Dept. Equipment,Sustained,Oral Reprimand,,06/18/2015,01/24/2015
IAD2015-0305,Internal investigation,07/07/2015,Police Officer,William M,Bulger,Reporting for Duty,Sustained,Oral Reprimand,,07/07/2015,03/14/2015
IAD2015-0306,Internal investigation,05/13/2015,Police Officer,Erick Kelvin,James,Paid Details Fitness for Duty,Sustained,Oral Reprimand,,05/13/2015,12/31/2014
IAD2015-0307,Citizen complaint,07/08/2015,Police Officer,Robert C,Boyle,Conduct Unbecoming,Exonerated,,,,07/02/2015
IAD2015-0308,Citizen complaint,07/08/2015,Police Officer,Ernest,Desroches,Respectful Treatment,Not Sustained,,,,07/02/2015
IAD2015-0309,Citizen complaint,06/11/2015,"Police Officer
Police Officer","Jason C
Brian J.","Reid
Michaud","Use of Force
Use of Force","Exonerated
Exonerated",,"0
0",,07/01/2014
IAD2015-0311,Internal investigation,06/08/2015,Sergeant,John G,Fitzgerald,Paid Details Fitness for Duty,Sustained,Oral Reprimand,,07/17/2015,03/27/2015
IAD2015-0314,Internal investigation,05/06/2015,Police Officer,Davey Kenneth,Stephens,Reporting for Duty,Sustained,Oral Reprimand,,04/30/2015,12/13/2014
IAD2015-0315,Internal investigation,06/23/2015,Police Officer,Robert Allen,Preble,Paid Details Fitness for Duty,Sustained,Oral Reprimand,,07/12/2016,01/13/2015
IAD2015-0317,Citizen complaint,05/19/2015,"Police Officer
Detective","Gregory N
Tod","Webb
Herron","Neg.Duty/Unreasonable Judge
Respectful Treatment","Exonerated
Unfounded",,"0
0",,05/20/2015
IAD2015-0318,Citizen complaint,06/15/2015,Police Officer,,Unknown,Use of Force,Not Sustained,,,,04/04/2015
IAD2015-0319,Citizen complaint,06/25/2015,Police Officer,,Unknown,Respectful Treatment Bias,Not Sustained,,,,06/13/2015
IAD2015-0320,Citizen complaint,06/15/2015,Police Officer,James D,Hawkins,Respectful Treatment,Unfounded,,,,12/31/2013
IAD2015-0321,Citizen complaint,06/19/2015,Sergeant Detective,Kenneth R,O'Brien,Respectful Treatment,Unfounded,,,,
IAD2015-0322,Internal investigation,06/18/2015,"Police Officer
Police Officer","Martin M
Martin M","Ryan
Ryan","Drug Test
Directives/Orders (2 counts)","Sustained
Sustained","Retired with Charges Pending
Retired with Charges Pending","0
0","05/17/2017
05/17/2017",06/17/2015
IAD2015-0323,Citizen complaint,06/16/2015,"Detective
Detective","John A.
Ellis E","Teixeira
Thornton","Self Identification
Self Identification","Exonerated
Exonerated",,"0
0",,06/15/2015
IAD2015-0325,Citizen complaint,06/19/2015,"Police Officer
Police Officer","Ayesha M.
Ayesha M.","Lawton
Lawton","Respectful Treatment
Self Identification","Not Sustained
Not Sustained",,"0
0",,06/09/2015
IAD2015-0326,Citizen complaint,06/22/2015,"Police Officer
Police Officer
Police Officer
Police Officer","Dwain R
Dwain R
Dwain R
Dwain R","Jackson
Jackson
Jackson
Jackson","Conduct Unbecoming
Conduct Unbecoming
Personal Business
Personal Business","Unfounded
Unfounded
Sustained
Sustained","Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance","3
2
3
2","11/20/2019
11/20/2019
11/20/2019
11/20/2019",05/05/2015
IAD2015-0327,Citizen complaint,06/24/2015,"Police Officer
Police Officer","Amyleigh
Joseph","Devito
Fisher","Respectful Treatment
Respectful Treatment","Sustained
Unfounded","Oral Reprimand
","0
0","02/28/2020
",06/24/2015
IAD2015-0328,Citizen complaint,06/24/2015,Detective,Stephen G,Kelly,Respectful Treatment,Not Sustained,,,,06/23/2015
IAD2015-0330,Citizen complaint,06/29/2015,Police Officer,Ismael,Sosa,Respectful Treatment,Unfounded,,,,06/03/2015
IAD2015-0333,Citizen complaint,06/22/2015,"Detective
Detective","Paul J
Paul J","Joyce
Joyce","Respectful Treatment
Abuse of Process","Unfounded
Not Sustained",,"0
0",,06/19/2015
IAD2015-0334,Citizen complaint,06/29/2015,Detective,Andrew J,Gambon,Neg.Duty/Unreasonable Judge,Unfounded,,,,06/26/2015
IAD2015-0335,Citizen complaint,06/26/2015,"Police Officer
Police Officer
Police Officer
Police Officer","Brian W.
Scott
Walter
Liam P.","Johnson
Pulchansingh
Suprey
Hawkins","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Unfounded
Unfounded
Unfounded
Unfounded",,"0
0
0
0",,06/19/2015
IAD2015-0336,Citizen complaint,06/26/2015,Police Officer,James M.,Thompson,Respectful Treatment,Unfounded,,,,06/26/2015
IAD2015-0337,Citizen complaint,07/10/2015,Police Officer,Joseph,Lynch,Respectful Treatment,Not Sustained,,,,
IAD2015-0338,Internal investigation,05/20/2015,Detective,Patrick M.J,Foley,Paid Details Fitness for Duty,Sustained,Oral Reprimand,,05/10/2015,01/12/2014
IAD2015-0343,Citizen complaint,07/21/2015,Police Officer,Sean,Paul,Use of Service Baton,Exonerated,,,,07/14/2013
IAD2015-0344,Citizen complaint,07/17/2015,Police Officer,Wilfredo,Coriano,Respectful Treatment,Not Sustained,,,,07/14/2015
IAD2015-0345,Citizen complaint,07/20/2015,"Police Officer
Police Officer","James
Christopher J","Holder
Ross","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Exonerated
Exonerated",,"0
0",,07/17/2015
IAD2015-0347,Internal investigation,05/06/2015,Police Officer,Debra G,Blandin,Paid Details,Sustained,Oral Reprimand,,04/24/2015,04/24/2015
IAD2015-0348,Citizen complaint,07/21/2015,"Police Officer
Police Officer","Brian J
Brian J","Perry
Perry","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Exonerated
Unfounded",,"0
0",,07/12/2015
IAD2015-0353,Citizen complaint,08/03/2015,Police Officer,Ryan H.,Manning,Neg.Duty/Unreasonable Judge,Unfounded,,,,08/01/2015
IAD2015-0354,Citizen complaint,07/29/2015,Police Officer,David C.,Williams,Respectful Treatment,Not Sustained,,,,07/26/2015
IAD2015-0355,Internal investigation,07/10/2015,Police Officer,Scott,Pulchansingh,Reporting for Duty,Sustained,Oral Reprimand,,07/10/2015,03/14/2015
IAD2015-0356,Citizen complaint,07/01/2015,Police Officer,Wilfredo,Coriano,Respectful Treatment,Exonerated,,,,07/01/2015
IAD2015-0363,Internal investigation,08/11/2015,Police Officer,Francisco,Rodriguez,Reporting for Duty,Sustained,Oral Reprimand,,06/22/2016,04/18/2015
IAD2015-0367,Citizen complaint,07/27/2015,Police Officer,Kenneth R,Reid,Respectful Treatment,Not Sustained,,,,07/27/2015
IAD2015-0369,Citizen complaint,07/27/2015,"Police Officer
Police Officer
Police Officer
Police Officer","Jonathan H
Jonathan H
Kevin T.
Kevin T.","Quigg
Quigg
Smith
Smith","Respectful Treatment
BIAS-Free Policing Policy
BIAS-Free Policing Policy
Respectful Treatment","Not Sustained
Not Sustained
Not Sustained
Not Sustained",,"0
0
0
0",,07/26/2015
IAD2015-0370,Internal investigation,07/30/2015,Police Officer,Davey Kenneth,Stephens,Respectful Treatment,Sustained,Oral Reprimand,,12/17/2019,07/29/2015
IAD2015-0371,Citizen complaint,07/30/2015,"Police Officer
Police Officer","Diamantino E.
John F.","Araujo
Alves","Respectful Treatment
Respectful Treatment","Not Sustained
Unfounded",,"0
0",,07/30/2015
IAD2015-0372,Citizen complaint,07/31/2015,"Detective
Sergeant Detective","Molwyn A
Bruce E","Shaw
Smith","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Exonerated
Exonerated",,"0
0",,12/24/2014
IAD2015-0373,Citizen complaint,08/04/2015,"Police Officer
Detective
Police Officer","Terence S.
Brian B.
Sean Michael","Long
McManus
Mccarthy","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Not Sustained
Not Sustained
Not Sustained",,"0
0
0",,07/26/2015
IAD2015-0375,Citizen complaint,08/06/2015,"Sergeant Detective
Sergeant Detective","Thomas J.
Thomas J.","O'leary
O'leary","Respectful Treatment
Use of Force","Not Sustained
Not Sustained",,"0
0",,08/06/2015
IAD2015-0377,Citizen complaint,08/14/2015,"Sergeant
Sergeant","James F
James F","Meredith
Meredith","Neg.Duty/Unreasonable Judge
Respectful Treatment","Unfounded
Unfounded",,"0
0",,07/15/2015
IAD2015-0378,Citizen complaint,08/17/2015,"Police Officer
Police Officer","Frederick J
Frederick J","Stevens
Stevens","Respectful Treatment
Self Identification","Sustained
Sustained","Oral Reprimand
Oral Reprimand","0
0","11/07/2017
11/07/2017",08/15/2015
IAD2015-0379,Citizen complaint,08/17/2015,Police Officer,Sean,Flaherty,BIAS-Free Policing Policy,Not Sustained,,,,
IAD2015-0380,Citizen complaint,08/17/2015,"Police Officer
Police Officer","Dana C
","Lamb
Unknown","Neg.Duty/Unreasonable Judg3e (3 counts)
Neg.Duty/Unreasonable Judge","Not Sustained
Not Sustained",,"0
0",,07/20/2015
IAD2015-0381,Citizen complaint,08/11/2015,"Police Officer
Police Officer","Sabrina
Sabrina","Gill
Gill","Respectful Treatment
Neg.Duty/Unreasonable Judge","Unfounded
Unfounded",,"0
0",,10/28/2014
IAD2015-0383,Citizen complaint,08/19/2015,"Police Officer
Police Officer
Police Officer
Police Officer","Patrick J.
Patrick J.
Patrick J.
Patrick J.","McCarthy
McCarthy
McCarthy
McCarthy","Conformance to Laws
Conformance to Laws
Conduct Unbecoming
Conduct Unbecoming","Not Sustained
Sustained
Sustained
Not Sustained","Separation Settlement Agreement
Separation Settlement Agreement
Separation Settlement Agreement
Separation Settlement Agreement","0
0
0
0","06/30/2019
06/30/2019
06/30/2019
06/30/2019",08/19/2015
IAD2015-0384,Citizen complaint,08/20/2015,"Police Officer
Police Officer","Patrick J.
Patrick J.","McCarthy
McCarthy","Conformance to Laws
Conduct Unbecoming","Not Sustained
Not Sustained",,"0
0",,01/01/2013
IAD2015-0385,Internal investigation,08/19/2015,"Detective
Detective
Detective
Detective
Detective
Detective
Detective
Detective
Detective
Detective","Seth
Seth
Seth
Seth
Seth
Seth
Seth
Seth
Seth
Seth","Richard
Richard
Richard
Richard
Richard
Richard
Richard
Richard
Richard
Richard","Conduct Unbecoming
Conduct Unbecoming
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Controlled Substances
Controlled Substances
Conduct Unbecoming
Conduct Unbecoming
Conformance to Laws
Conformance to Laws","Sustained
Sustained
Sustained
Sustained
Sustained
Sustained
Sustained
Sustained
Sustained
Sustained","Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance","30
25
30
25
30
25
30
25
30
25","06/29/2016
06/29/2016
06/29/2016
06/29/2016
06/29/2016
06/29/2016
06/29/2016
06/29/2016
06/29/2016
06/29/2016",08/19/2015
IAD2015-0386,Citizen complaint,08/24/2015,"Police Officer
Police Officer
Police Officer
Police Officer
Sergeant
Lieutenant
Police Officer
Police Officer","Terrence Shane
Terrence Shane
Terrence Shane
Terrence Shane
Susan R
Steven M
Philip F
Joseph","Burke
Burke
Burke
Burke
Edghill-Yard
Ciccolo
Coleman
Hanley","Conduct Unbecoming
Neg.Duty/Unreasonable Judge (2 counts)
Alcohol off Duty
Conformance to Laws
Self Identification
Self Identification
Self Identification
Self Identification","Sustained
Sustained
Not Sustained
Not Sustained
Not Sustained
Unfounded
Unfounded
Unfounded","Suspension
Suspension
Suspension
Suspension



","1
1
1
1
0
0
0
0","10/07/2019
10/07/2019
10/07/2019
10/07/2019



",08/21/2015
IAD2015-0387,Citizen complaint,08/21/2015,Police Officer,Erick Kelvin,James,Special Order 92-15 Towed Motor Vehicles,Sustained,Oral Reprimand,,01/30/2020,08/03/2015
IAD2015-0390,Citizen complaint,08/21/2015,"Police Officer
Police Officer","Carole D
Carole D","Holmes
Holmes","Self Identification
BIAS-Free Policing Policy","Not Sustained
Not Sustained",,"0
0",,08/20/2015
IAD2015-0391,Citizen complaint,08/20/2015,"Police Officer
Police Officer","Jimmy
Jimmy","Giraldo
Giraldo","Neg.Duty/Unreasonable Judge
Respectful Treatment","Not Sustained
Not Sustained",,"0
0",,08/19/2015
IAD2015-0392,Citizen complaint,08/24/2015,"Police Officer
Police Officer","Fred
Sherry","Ferrara
Dellascio","Use of Force
Use of Force","Exonerated
Exonerated",,"0
0",,08/20/2015
IAD2015-0393,Citizen complaint,08/24/2015,Police Officer,Patrick,Kelly,Untruthfulness in Department Report,Unfounded,,,,08/07/2015
IAD2015-0394,Citizen complaint,08/24/2015,Police Officer,Cynthia M,Beckford-Brewington,Respectful Treatment,Not Sustained,,,,08/24/2015
IAD2015-0395,Citizen complaint,08/24/2015,Police Officer,,Unknown,Respectful Treatment,Not Sustained,,,,08/24/2015
IAD2015-0396,Citizen complaint,08/26/2015,Sergeant,Daniel M,Keeler,Neg.Duty/Unreasonable Judge,Not Sustained,,,,06/03/2015
IAD2015-0397,Internal investigation,08/26/2015,Detective,Dante B,Williams,Reporting for Duty,Sustained,Suspension,1,07/23/2016,08/23/2015
IAD2015-0398,Citizen complaint,08/26/2015,Police Officer,,Unknown,Conduct Unbecoming,Not Sustained,,,,08/26/2015
IAD2015-0399,Citizen complaint,08/27/2015,"Police Officer
Police Officer","Robert R.
Anthony J","Robichaud
Poulos","Use of Force
Use of Force","Not Sustained
Not Sustained",,"0
0",,08/26/2015
IAD2015-0400,Citizen complaint,08/31/2015,"Police Officer
Police Officer","Timothy
Matthew","McCarthy
Burton","Respectful Treatment
Respectful Treatment","Exonerated
Exonerated",,"0
0",,08/28/2015
IAD2015-0401,Citizen complaint,08/31/2015,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Daniel T.
Daniel T.
Anthony J
Anthony J
","Toomey
Toomey
Poulos
Poulos
Unknown","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Respectful Treatment","Exonerated
Not Sustained
Not Sustained
Exonerated
Not Sustained",,"0
0
0
0
0",,08/02/2015
IAD2015-0403,Citizen complaint,08/28/2015,Sergeant,Michael C,Hanson,Respectful Treatment,Unfounded,,,,08/27/2015
IAD2015-0404,Citizen complaint,08/31/2015,"Police Officer
Police Officer
Police Officer","Matthew E
Matthew E
Zachary Andrew","Haslett
Haslett
Crossen","Respectful Treatment
Emergency Driving
Respectful Treatment","Not Sustained
Sustained
Not Sustained","Oral Reprimand
Oral Reprimand
","0
0
0","01/24/2020
01/24/2020
",08/29/2015
IAD2015-0405,Citizen complaint,08/31/2015,Police Officer,,Unknown,Respectful Treatment,Not Sustained,,,,08/23/2015
IAD2015-0406,Citizen complaint,08/31/2015,Police Officer,,Unknown,Respectful Treatment,Not Sustained,,,,08/28/2015
IAD2015-0407,Citizen complaint,08/31/2015,Police Officer,Michael John,Boulger,Respectful Treatment,Unfounded,,,,08/20/2015
IAD2015-0408,Internal investigation,09/01/2015,Police Officer,Nicholas,Onishuk,Reporting for Duty,Sustained,Oral Reprimand,,09/01/2015,04/24/2015
IAD2015-0409,Citizen complaint,08/31/2015,Police Officer,Jimmy,Giraldo,Conduct Unbecoming,Unfounded,,,,08/31/2015
IAD2015-0413,Citizen complaint,09/01/2015,"Police Officer
Police Officer",,"Unknown
Unknown","Use of Force
Neg.Duty/Unreasonable Judge","Not Sustained
Not Sustained",,"0
0",,08/13/2015
IAD2015-0414,Citizen complaint,09/02/2015,"Detective
Sergeant Detective
Sergeant Detective
Detective
Detective
Detective
Detective
Sergeant","Michelle A
Brian D
Stephen P
Aaron T
George Irving
Eddie
Stephen J
Joseph S","Williams
Albert
Romano
Blocker
Cardoza
Hernandez
Ridge
King","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Unfounded
Unfounded
Unfounded
Unfounded
Unfounded
Unfounded
Unfounded
Unfounded",,"0
0
0
0
0
0
0
0",,12/26/2009
IAD2015-0419,Citizen complaint,09/14/2015,"Police Officer
Police Officer","Matthew J
Donald B","Conley
Powell","Respectful Treatment
Respectful Treatment","Not Sustained
Not Sustained",,"0
0",,09/08/2015
IAD2015-0420,Citizen complaint,09/11/2015,Detective,John G,Maloof,Conduct Unbecoming,Unfounded,,,,09/07/2014
IAD2015-0421,Citizen complaint,09/14/2015,"Police Officer
Police Officer
Sergeant
Police Officer
Police Officer
Police Officer","Joseph P.
Joseph P.
Peter B
Robert C
Robert C
Daniel T.","Gorman III
Gorman III
Morris
Boyle
Boyle
Lane","Conduct Unbecoming
Conformance to Laws
Neg.Duty/Unreasonable Judge
Unreasonable Judgement
Respectful Treatment
Unreasonable Judgement","Not Sustained
Not Sustained
Sustained
Not Sustained
Not Sustained
Unfounded","Oral Reprimand


","0
0
0
0
0
0","11/03/2017


",09/13/2015
IAD2015-0423,Citizen complaint,09/14/2015,Police Officer,Dana C,Lamb,Respectful Treatment,Unfounded,,,,09/12/2015
IAD2015-0425,Internal investigation,09/17/2015,"Detective
Detective","Marcelino
Marcelino","Cardoso
Cardoso","Directives/Orders
Reporting for Duty","Sustained
Sustained","Suspension
Suspension","1
1","10/08/2015
10/08/2015",08/28/2015
IAD2015-0426,Citizen complaint,09/17/2015,"Police Officer
Police Officer","Brian J
Edward J","Lydon
Fleming","Use of Force
Use of Force","Exonerated
Not Sustained",,"0
0",,09/15/2015
IAD2015-0442,Citizen complaint,09/22/2015,"Police Officer
Police Officer","Richard J.
Richard J.","Fleming
Fleming","Conformance to Laws
Conduct Unbecoming","Sustained
Sustained","Deceased
Deceased","0
0","03/27/2016
03/27/2016",09/15/2015
IAD2015-0444,Citizen complaint,09/21/2015,Police Officer,Stephen J,Canto,Respectful Treatment,Sustained,Oral Reprimand,,06/18/2019,09/21/2015
IAD2015-0445,Internal investigation,09/23/2015,Sergeant,James A,Moore,Hostile Work Environment,Unfounded,,,,06/12/2015
IAD2015-0446,Citizen complaint,09/23/2015,"Police Officer
Police Officer
Police Officer
Police Officer
Sergeant","Jimmy
Jimmy
Jimmy
Jimmy
James H","Giraldo
Giraldo
Giraldo
Giraldo
Buckley","Respectful Treatment
Respectful Treatment
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Sustained
Sustained
Sustained
Sustained
Unfounded","Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
","10
5
10
5
0","10/15/2018
10/15/2018
10/15/2018
10/15/2018
",09/21/2015
IAD2015-0447,Internal investigation,09/23/2015,Police Officer,Alfred A,James,Reporting for Duty,Sustained,Oral Reprimand,,09/23/2015,05/16/2015
IAD2015-0466,Citizen complaint,09/25/2015,Police Officer,Linda M,Strother-Lyons,Respectful Treatment,Not Sustained,,,,09/23/2015
IAD2015-0467,Citizen complaint,09/25/2015,Police Officer,Scott,Pulchansingh,Conduct Unbecoming,Unfounded,,,,09/25/2015
IAD2015-0468,Citizen complaint,09/28/2015,"Police Officer
Police Officer","Frederick D
Frederick D","Rice
Rice","Respectful Treatment
Conformance to Laws","Not Sustained
Not Sustained",,"0
0",,09/25/2015
IAD2015-0470,Internal investigation,10/01/2015,"Detective
Detective
Detective","Brian M
Brian M
Brian M","Smigielski
Smigielski
Smigielski","Conduct Unbecoming
Association with Criminals
Conformance to Laws","Sustained
Sustained
Sustained","Resigned Charges Pending
Resigned Charges Pending
Resigned Charges Pending","0
0
0","01/29/2016
01/29/2016
01/29/2016",09/29/2015
IAD2015-0473,Citizen complaint,10/05/2015,Police Officer,Kathleen,Burke,Respectful Treatment,Not Sustained,,,,09/23/2015
IAD2015-0474,Internal investigation,10/05/2015,Police Officer,Tyrone E,Smith,Reporting for Duty,Sustained,Oral Reprimand,,08/06/2015,12/13/2014
IAD2015-0475,Internal investigation,10/05/2015,Detective,Anthony H,Francis,Reporting for Duty,Sustained,Oral Reprimand,,07/13/2015,03/14/2015
IAD2015-0476,Internal investigation,10/05/2015,Detective,Lamont,Anderson,Reporting for Duty,Sustained,Oral Reprimand,,08/24/2015,04/18/2015
IAD2015-0477,Citizen complaint,10/05/2015,"Police Officer
Police Officer","Joseph
Gladys","Lynch
Frias","Respectful Treatment
Respectful Treatment","Unfounded
Unfounded",,"0
0",,09/25/2015
IAD2015-0478,Citizen complaint,10/01/2015,"Police Officer
Police Officer","Jose
Elvin","Molina
Aviles","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Not Sustained
Not Sustained",,"0
0",,09/30/2015
IAD2015-0480,Citizen complaint,10/07/2015,Detective,Robert C,Flynn,Respectful Treatment,Not Sustained,,,,10/05/2015
IAD2015-0481,Citizen complaint,10/13/2015,"Detective
Detective","Molwyn A
Paul J","Shaw
Coffey","BIAS-Free Policing Policy
BIAS-Free Policing Policy","Unfounded
Unfounded",,"0
0",,07/17/2015
IAD2015-0485,Citizen complaint,10/07/2015,"Police Officer
Police Officer","Edward F.
Edward F.","Hamilton
Hamilton","Respectful Treatment
Self Identification","Not Sustained
Sustained","Retired
Retired","0
0","09/30/2016
09/30/2016",10/06/2015
IAD2015-0486,Citizen complaint,10/14/2015,Police Officer,Norman D.,Texeria,Respectful Treatment,Not Sustained,,,,08/08/2015
IAD2015-0487,Citizen complaint,10/14/2015,Police Officer,Justin P.,Wood,Respectful Treatment,Unfounded,,,,09/05/2015
IAD2015-0490,Internal investigation,10/15/2015,Police Officer,Michael Christophe,Coppinger,Paid Details Fitness for Duty,Sustained,Oral Reprimand,,03/29/2015,03/29/2015
